rms,h3_ratio,h5_ratio,label
0.263,0.7842,0.6226,laptop
0.3006,0.6979,0.5318,laptop
0.2204,0.509,0.2779,laptop
0.2526,1.4891,1.3484,laptop
0.2428,0.9132,1.1109,laptop
0.2286,0.3964,0.3952,laptop
0.2257,0.9316,0.7837,laptop
0.2422,0.9112,0.5321,laptop
0.2445,2.0835,2.1305,laptop
0.2367,1.139,0.1761,laptop
0.2562,0.8399,0.5553,laptop
0.2727,0.5554,0.1211,laptop
0.2421,0.6296,0.2676,laptop
0.2381,0.8269,0.7281,laptop
0.2203,0.9401,0.1863,laptop
0.2635,0.489,0.2836,laptop
0.215,1.5976,2.2967,laptop
0.2091,1.5355,1.4683,laptop
0.2478,0.5417,0.208,laptop
0.2364,0.3911,1.9048,laptop
0.2238,0.8332,2.2599,laptop
0.2278,12.3235,28.1792,laptop
0.2693,0.7241,0.4843,laptop
0.2252,0.779,0.3485,laptop
0.266,0.8405,0.751,laptop
0.2582,0.7356,0.2506,laptop
0.2357,1.7415,2.1998,laptop
0.3019,2.4615,2.199,laptop
0.2,0.6233,0.7915,laptop
0.2494,0.5642,0.2822,laptop
0.2283,1.068,0.3877,laptop
0.2356,0.7196,0.6319,laptop
0.2399,0.2944,0.2036,laptop
0.248,0.6586,0.0533,laptop
0.2079,1.2875,1.226,laptop
0.2451,1.0137,0.8128,laptop
0.2399,0.5404,0.3989,laptop
0.2208,2.3312,2.9647,laptop
0.2248,0.5669,0.2601,laptop
0.2362,0.6609,0.7664,laptop
0.2195,0.6147,1.1901,laptop
0.2178,0.6625,0.924,laptop
0.224,0.5314,0.8577,laptop
0.2162,0.8383,0.6384,laptop
0.2069,0.2093,0.8508,laptop
0.2418,0.5752,0.1954,laptop
0.2233,0.784,0.2955,laptop
0.2358,2.0381,1.9617,laptop
0.2251,1.037,0.2658,laptop
0.2072,0.9701,1.8034,laptop
0.2073,1.4023,1.1062,laptop
0.2322,0.5607,0.6205,laptop
0.2376,0.477,0.592,laptop
0.2467,0.8869,1.1149,laptop
0.2345,0.7654,1.2592,laptop
0.2599,0.5393,0.5053,laptop
0.2295,0.7072,0.6629,laptop
0.1954,0.7309,1.3129,laptop
0.2284,1.0641,0.1781,laptop
0.2719,0.7079,0.2956,laptop
0.2227,1.3841,0.2971,laptop
0.2445,0.819,0.619,laptop
0.2131,0.5409,0.3421,laptop
0.2169,1.2533,0.9182,laptop
0.2253,0.2453,0.9067,laptop
0.213,0.8297,1.751,laptop
0.215,0.6795,0.4771,laptop
0.2031,1.0264,1.0868,laptop
0.2268,0.6576,0.609,laptop
0.2559,0.4625,0.2694,laptop
0.1935,1.1246,0.4951,laptop
0.2461,0.995,0.266,laptop
0.2052,0.3885,0.6067,laptop
0.2201,2.0392,3.4971,laptop
0.2211,1.381,0.5148,laptop
0.2351,0.6129,0.4968,laptop
0.2499,0.9685,0.996,laptop
0.2397,0.4883,0.3591,laptop
0.2309,0.9787,0.761,laptop
0.2205,0.4419,0.912,laptop
0.1077,0.6894,1.2971,laptop
0.085,0.8194,0.1322,laptop
0.102,0.7346,0.3285,laptop
0.0823,4.4506,5.5022,laptop
0.0947,1.8912,0.3819,laptop
0.069,1.8091,3.17,laptop
0.0813,0.313,1.4041,laptop
0.1293,1.2971,1.2864,laptop
0.0774,1.4566,1.2797,laptop
0.157,0.7886,0.5819,laptop
0.0688,0.9824,0.5739,laptop
0.0768,0.8793,0.4203,laptop
0.0651,1.517,3.089,laptop
0.0687,1.6982,0.318,laptop
0.0738,0.9666,1.2145,laptop
0.0666,0.5528,0.4537,laptop
0.0793,0.5219,0.7251,laptop
0.0743,4.139,7.9381,laptop
0.0629,0.6714,1.7918,laptop
0.0641,0.5305,0.3084,laptop
0.0731,0.6254,0.4113,laptop
0.0671,1.6451,3.4602,laptop
0.0726,1.3638,1.0099,laptop
0.0749,1.6503,1.3645,laptop
0.0767,0.6485,0.2372,laptop
0.0789,1.7041,1.627,laptop
0.0824,0.6985,0.147,laptop
0.0808,2.2547,1.5958,laptop
0.0694,1.6304,1.3423,laptop
0.0704,0.874,1.7466,laptop
0.0724,0.5836,0.6766,laptop
0.0706,0.6052,0.6438,laptop
0.0807,0.9357,0.1066,laptop
0.072,1.467,0.526,laptop
0.0693,1.2988,0.5917,laptop
0.0795,1.2094,0.6723,laptop
0.0768,1.1711,1.1655,laptop
0.0686,0.6212,0.5775,laptop
0.0647,1.3006,0.8789,laptop
0.0719,1.302,0.6229,laptop
0.0619,1.1097,1.5524,laptop
0.0725,0.4044,0.6028,laptop
0.0648,2.1033,7.1458,laptop
0.0777,0.9053,0.5621,laptop
0.063,5.4609,4.6371,laptop
0.0856,0.9577,0.5495,laptop
0.0802,1.0954,0.6078,laptop
0.0825,0.7847,0.2939,laptop
0.0757,0.5957,0.4775,laptop
0.0776,0.9166,0.8957,laptop
0.0606,0.6028,0.4221,laptop
0.0739,0.635,0.3914,laptop
0.0693,1.1708,1.3898,laptop
0.0686,16.8711,14.1259,laptop
0.0655,0.3935,2.2019,laptop
0.0629,1.3579,1.0961,laptop
0.0671,0.23,0.6821,laptop
0.0715,0.5042,0.9188,laptop
0.0691,2.3581,4.2233,laptop
0.0715,0.2548,0.8819,laptop
0.0775,1.011,0.4137,laptop
0.0836,0.4209,0.2099,laptop
0.0742,0.2894,0.6533,laptop
0.0761,0.8488,0.6863,laptop
0.0685,0.4695,0.1261,laptop
0.0784,0.9407,2.1243,laptop
0.074,1.0521,0.475,laptop
0.0678,0.1499,0.4446,laptop
0.0878,0.8968,0.177,laptop
0.0649,1.0012,1.2884,laptop
0.0753,0.9395,0.8524,laptop
0.0683,1.4602,1.6952,laptop
0.0646,2.9171,1.9093,laptop
0.0685,2.3525,1.5535,laptop
0.093,0.694,0.2828,laptop
0.0667,0.4704,0.4785,laptop
0.0831,0.8332,0.6258,laptop
0.0674,1.065,0.7864,laptop
0.0872,0.4266,0.3172,laptop
0.0734,0.6844,0.538,laptop
0.0921,0.7604,1.7006,laptop
0.1132,1.0211,0.5902,laptop
0.0961,1.4607,1.356,laptop
0.092,0.6331,0.0777,laptop
0.0841,1.0026,0.6745,laptop
0.064,0.6495,0.3278,laptop
0.0912,2.4239,3.1244,laptop
0.0627,0.8241,0.4051,laptop
0.0743,0.7122,1.714,laptop
0.0661,1.3127,1.0708,laptop
0.0741,0.8577,0.7358,laptop
0.0666,0.8479,3.5782,laptop
0.0666,2.1173,6.2907,laptop
0.0654,0.4075,2.2257,laptop
0.0667,2.8209,1.7839,laptop
0.0811,0.5082,0.1991,laptop
0.0625,1.6115,2.0145,laptop
0.0785,0.5418,0.5809,laptop
0.0659,0.6681,1.0739,laptop
0.1402,1.7786,1.0993,laptop
0.0771,0.5662,0.4706,laptop
0.07,2.1752,13.2271,laptop
